dbname	url	slice
simplewiktionary	https://simple.wiktionary.org	s3.labsdb
sqwikibooks	https://sq.wikibooks.org	s3.labsdb
slwikiversity	https://sl.wikiversity.org	s3.labsdb
tpiwiktionary	https://tpi.wiktionary.org	s3.labsdb
liwikiquote	https://li.wikiquote.org	s3.labsdb
fywiki	https://fy.wikipedia.org	s3.labsdb
fawiktionary	https://fa.wiktionary.org	s3.labsdb
frpwiki	https://frp.wikipedia.org	s3.labsdb
wawiki	https://wa.wikipedia.org	s3.labsdb
strategywiki	https://strategy.wikimedia.org	s3.labsdb
bswikisource	https://bs.wikisource.org	s3.labsdb
sswiktionary	https://ss.wiktionary.org	s3.labsdb
commonswiki	https://commons.wikimedia.org	s4.labsdb
dvwiktionary	https://dv.wiktionary.org	s3.labsdb
trwiki	https://tr.wikipedia.org	s2.labsdb
nlwikisource	https://nl.wikisource.org	s3.labsdb
kkwiki	https://kk.wikipedia.org	s3.labsdb
nowiktionary	https://no.wiktionary.org	s3.labsdb
quwiki	https://qu.wikipedia.org	s3.labsdb
trwikibooks	https://tr.wikibooks.org	s3.labsdb
aywiki	https://ay.wikipedia.org	s3.labsdb
vewiki	https://ve.wikipedia.org	s3.labsdb
angwikisource	https://ang.wikisource.org	s3.labsdb
cswikibooks	https://cs.wikibooks.org	s3.labsdb
siwikibooks	https://si.wikibooks.org	s3.labsdb
swwiki	https://sw.wikipedia.org	s3.labsdb
huwiktionary	https://hu.wiktionary.org	s3.labsdb
kuwikibooks	https://ku.wikibooks.org	s3.labsdb
rwwiktionary	https://rw.wiktionary.org	s3.labsdb
knwiktionary	https://kn.wiktionary.org	s3.labsdb
roa_rupwiktionary	https://roa-rup.wiktionary.org	s3.labsdb
eowiktionary	https://eo.wiktionary.org	s3.labsdb
skwikisource	https://sk.wikisource.org	s3.labsdb
sewikibooks	https://se.wikibooks.org	s3.labsdb
azwiktionary	https://az.wiktionary.org	s3.labsdb
rowikivoyage	https://ro.wikivoyage.org	s3.labsdb
euwikibooks	https://eu.wikibooks.org	s3.labsdb
avwiki	https://av.wikipedia.org	s3.labsdb
fywiktionary	https://fy.wiktionary.org	s3.labsdb
kuwikiquote	https://ku.wikiquote.org	s3.labsdb
piwiki	https://pi.wikipedia.org	s3.labsdb
ttwiktionary	https://tt.wiktionary.org	s3.labsdb
dsbwiki	https://dsb.wikipedia.org	s3.labsdb
suwiki	https://su.wikipedia.org	s3.labsdb
arwikisource	https://ar.wikisource.org	s3.labsdb
ukwikinews	https://uk.wikinews.org	s3.labsdb
akwiktionary	https://ak.wiktionary.org	s3.labsdb
hrwikiquote	https://hr.wikiquote.org	s3.labsdb
euwiktionary	https://eu.wiktionary.org	s3.labsdb
gdwiktionary	https://gd.wiktionary.org	s3.labsdb
cywiktionary	https://cy.wiktionary.org	s3.labsdb
arwikiquote	https://ar.wikiquote.org	s3.labsdb
myvwiki	https://myv.wikipedia.org	s3.labsdb
hywikisource	https://hy.wikisource.org	s3.labsdb
guwikiquote	https://gu.wikiquote.org	s3.labsdb
ugwikiquote	https://ug.wikiquote.org	s3.labsdb
mrwiktionary	https://mr.wiktionary.org	s3.labsdb
nrmwiki	https://nrm.wikipedia.org	s3.labsdb
sqwikiquote	https://sq.wikiquote.org	s3.labsdb
srwiktionary	https://sr.wiktionary.org	s3.labsdb
advisorywiki	https://advisory.wikimedia.org	s3.labsdb
lgwiki	https://lg.wikipedia.org	s3.labsdb
tnwiki	https://tn.wikipedia.org	s3.labsdb
uzwiktionary	https://uz.wiktionary.org	s3.labsdb
tiwiktionary	https://ti.wiktionary.org	s3.labsdb
aswikisource	https://as.wikisource.org	s3.labsdb
kmwiki	https://km.wikipedia.org	s3.labsdb
cswiktionary	https://cs.wiktionary.org	s3.labsdb
lnwikibooks	https://ln.wikibooks.org	s3.labsdb
kywikibooks	https://ky.wikibooks.org	s3.labsdb
tiwiki	https://ti.wikipedia.org	s3.labsdb
specieswiki	https://species.wikimedia.org	s3.labsdb
hsbwiki	https://hsb.wikipedia.org	s3.labsdb
sowiktionary	https://so.wiktionary.org	s3.labsdb
mywiki	https://my.wikipedia.org	s3.labsdb
newiki	https://ne.wikipedia.org	s3.labsdb
mywiktionary	https://my.wiktionary.org	s3.labsdb
cvwiki	https://cv.wikipedia.org	s3.labsdb
nnwiki	https://nn.wikipedia.org	s3.labsdb
bewiki	https://be.wikipedia.org	s3.labsdb
bmwiktionary	https://bm.wiktionary.org	s3.labsdb
gagwiki	https://gag.wikipedia.org	s3.labsdb
gomwiki	https://gom.wikipedia.org	s3.labsdb
orwiki	https://or.wikipedia.org	s3.labsdb
enwikivoyage	https://en.wikivoyage.org	s3.labsdb
tlwikibooks	https://tl.wikibooks.org	s3.labsdb
rmwikibooks	https://rm.wikibooks.org	s3.labsdb
gotwiki	https://got.wikipedia.org	s3.labsdb
mywikibooks	https://my.wikibooks.org	s3.labsdb
ckbwiki	https://ckb.wikipedia.org	s3.labsdb
bawiki	https://ba.wikipedia.org	s3.labsdb
ruwikivoyage	https://ru.wikivoyage.org	s3.labsdb
tenwiki	https://ten.wikipedia.org	s3.labsdb
mowiktionary	https://mo.wiktionary.org	s3.labsdb
liwiktionary	https://li.wiktionary.org	s3.labsdb
cywikisource	https://cy.wikisource.org	s3.labsdb
etwikisource	https://et.wikisource.org	s3.labsdb
kuwiktionary	https://ku.wiktionary.org	s3.labsdb
plwikiquote	https://pl.wikiquote.org	s3.labsdb
hrwikisource	https://hr.wikisource.org	s3.labsdb
wikimania2011wiki	https://wikimania2011.wikimedia.org	s3.labsdb
svwiktionary	https://sv.wiktionary.org	s3.labsdb
nawiktionary	https://na.wiktionary.org	s3.labsdb
arwiki	https://ar.wikipedia.org	s7.labsdb
ltgwiki	https://ltg.wikipedia.org	s3.labsdb
dewikiquote	https://de.wikiquote.org	s3.labsdb
bnwikibooks	https://bn.wikibooks.org	s3.labsdb
alswiktionary	https://als.wiktionary.org	s3.labsdb
angwiki	https://ang.wikipedia.org	s3.labsdb
bnwiktionary	https://bn.wiktionary.org	s3.labsdb
akwikibooks	https://ak.wikibooks.org	s3.labsdb
eowiki	https://eo.wikipedia.org	s2.labsdb
aywiktionary	https://ay.wiktionary.org	s3.labsdb
cawiktionary	https://ca.wiktionary.org	s3.labsdb
srwikiquote	https://sr.wikiquote.org	s3.labsdb
suwiktionary	https://su.wiktionary.org	s3.labsdb
kowiki	https://ko.wikipedia.org	s7.labsdb
astwikiquote	https://ast.wikiquote.org	s3.labsdb
ndswikiquote	https://nds.wikiquote.org	s3.labsdb
cswikiversity	https://cs.wikiversity.org	s3.labsdb
hywikibooks	https://hy.wikibooks.org	s3.labsdb
afwikiquote	https://af.wikiquote.org	s3.labsdb
mowiki	https://mo.wikipedia.org	s3.labsdb
iewiktionary	https://ie.wiktionary.org	s3.labsdb
sdwiki	https://sd.wikipedia.org	s3.labsdb
shwiktionary	https://sh.wiktionary.org	s3.labsdb
lezwiki	https://lez.wikipedia.org	s3.labsdb
nowiki	https://no.wikipedia.org	s2.labsdb
nahwiki	https://nah.wikipedia.org	s3.labsdb
map_bmswiki	https://map-bms.wikipedia.org	s3.labsdb
hywiki	https://hy.wikipedia.org	s3.labsdb
slwikisource	https://sl.wikisource.org	s3.labsdb
yowiktionary	https://yo.wiktionary.org	s3.labsdb
hywiktionary	https://hy.wiktionary.org	s3.labsdb
mnwiktionary	https://mn.wiktionary.org	s3.labsdb
dewiki	https://de.wikipedia.org	s5.labsdb
tkwiki	https://tk.wikipedia.org	s3.labsdb
glwiktionary	https://gl.wiktionary.org	s3.labsdb
wikimania2009wiki	https://wikimania2009.wikimedia.org	s3.labsdb
lawiki	https://la.wikipedia.org	s3.labsdb
szlwiki	https://szl.wikipedia.org	s3.labsdb
mgwikibooks	https://mg.wikibooks.org	s3.labsdb
enwiktionary	https://en.wiktionary.org	s2.labsdb
ukwikibooks	https://uk.wikibooks.org	s3.labsdb
rowikinews	https://ro.wikinews.org	s3.labsdb
frwikiversity	https://fr.wikiversity.org	s3.labsdb
ugwiktionary	https://ug.wiktionary.org	s3.labsdb
svwikisource	https://sv.wikisource.org	s3.labsdb
kawiki	https://ka.wikipedia.org	s3.labsdb
fiwikiquote	https://fi.wikiquote.org	s3.labsdb
kuwiki	https://ku.wikipedia.org	s3.labsdb
dewikivoyage	https://de.wikivoyage.org	s3.labsdb
skwiktionary	https://sk.wiktionary.org	s3.labsdb
snwiktionary	https://sn.wiktionary.org	s3.labsdb
lrcwiki	https://lrc.wikipedia.org	s3.labsdb
rowikisource	https://ro.wikisource.org	s3.labsdb
guwiki	https://gu.wikipedia.org	s3.labsdb
hawiktionary	https://ha.wiktionary.org	s3.labsdb
tnwiktionary	https://tn.wiktionary.org	s3.labsdb
arzwiki	https://arz.wikipedia.org	s3.labsdb
